"pu_month","avg_tip_amount"
"Jan",1.82736223011314
"Feb",2.16325280291722
"Mar",2.23170049252002
"Apr",2.21270139298183
"May",2.2588353562504
"Jun",2.26594424227475
"Jul",2.1838632251006
"Aug",2.16672225668206
"Sep",2.27790216802779
"Oct",2.28118725248159
"Nov",2.251248772323
"Dec",2.24457254400446
