"pu_month","pu_hour","airport","pos_dist","pos_tip","high_tip","num_trips","avg_trip_dist","avg_tip_amount","avg_fare_amount"
12,0,"Y",FALSE,TRUE,FALSE,121,0,1.46942148760331,18.4223966942149
12,0,"Y",TRUE,TRUE,FALSE,15266,12.8691471243286,5.66585025546967,37.3918983361719
1,1,"N",FALSE,FALSE,FALSE,1,0,-1.14,-2.5
1,1,"N",FALSE,TRUE,FALSE,1431,0,3.66618448637317,22.7636198462614
1,1,"N",FALSE,TRUE,TRUE,1,0,400,52
1,1,"N",TRUE,FALSE,FALSE,1,0.37,-8.8,-3
1,1,"N",TRUE,TRUE,FALSE,142565,2.80089951951741,1.64926651001298,11.3544166520534
1,1,"Y",FALSE,TRUE,FALSE,45,0,0.900666666666667,25.8
1,1,"Y",TRUE,TRUE,FALSE,5193,13.2864972077797,5.40397650683613,38.2342441748508
2,1,"N",FALSE,FALSE,FALSE,4,0,-1.6775,-6.5
2,1,"N",FALSE,TRUE,FALSE,1380,0,3.05105072463768,20.6900507246377
2,1,"N",TRUE,FALSE,FALSE,3,0.543333333333333,-0.986666666666667,-5.33333333333333
2,1,"N",TRUE,TRUE,FALSE,133243,2.79713013066352,1.94925789722537,11.3163673138551
2,1,"Y",FALSE,TRUE,FALSE,41,0,0.318536585365854,12.7929268292683
2,1,"Y",TRUE,TRUE,FALSE,4469,13.5650525844708,5.69805549339897,39.0507473707765
3,1,"N",FALSE,FALSE,FALSE,1,0,-12.27,-61.06
3,1,"N",FALSE,TRUE,FALSE,1714,0,3.89790548424737,25.6358401400233
3,1,"N",FALSE,TRUE,TRUE,1,0,380,20
3,1,"N",TRUE,FALSE,FALSE,5,0.592,-27.262,-5.1
3,1,"N",TRUE,TRUE,FALSE,162438,2.83916952929733,2.00096880040385,11.4754005220453
3,1,"Y",FALSE,TRUE,FALSE,43,0,1.66813953488372,20.1048837209302
3,1,"Y",TRUE,TRUE,FALSE,6077,14.1205249300642,5.6014760572651,40.385593220339
4,1,"N",FALSE,TRUE,FALSE,1550,0,3.85305161290323,28.1245225806452
4,1,"N",TRUE,FALSE,FALSE,1,0.4,-1.56,-4
4,1,"N",TRUE,TRUE,FALSE,132757,2.86620946541425,1.96653351612344,11.4738263142433
4,1,"Y",FALSE,TRUE,FALSE,62,0,0.876774193548387,14.6096774193548
4,1,"Y",TRUE,TRUE,FALSE,7856,13.8215873217923,5.42727978615071,39.6591191446029
5,1,"N",FALSE,FALSE,FALSE,3,0,-0.886666666666667,-2.5
5,1,"N",FALSE,TRUE,FALSE,1603,0,4.08466001247661,29.7533936369308
5,1,"N",FALSE,TRUE,TRUE,2,0,300,20
5,1,"N",TRUE,TRUE,FALSE,135507,2.87603828584501,1.95041031090645,11.5387996192079
5,1,"Y",FALSE,TRUE,FALSE,93,0,1.18344086021505,13.5483870967742
5,1,"Y",TRUE,TRUE,FALSE,9455,13.530913802221,5.41536541512427,39.1371401374934
6,1,"N",FALSE,FALSE,FALSE,2,0,-8.055,-2.5
6,1,"N",FALSE,TRUE,FALSE,1783,0,3.89685922602356,29.3419125070107
6,1,"N",TRUE,TRUE,FALSE,147852,2.87369923978032,1.97901658415172,11.6139340015691
6,1,"N",TRUE,TRUE,TRUE,1,6.36,638,20.5
6,1,"Y",FALSE,TRUE,FALSE,82,0,0.646341463414634,18.2117073170732
6,1,"Y",TRUE,TRUE,FALSE,10102,13.4871025539497,5.59929023955652,38.8784052662839
7,1,"N",FALSE,FALSE,FALSE,2,0,-0.81,-2.75
7,1,"N",FALSE,TRUE,FALSE,1648,0,4.00229368932039,32.9048847087379
7,1,"N",TRUE,FALSE,FALSE,3,0.8,-1.98,-5.33333333333333
7,1,"N",TRUE,TRUE,FALSE,114576,2.9169050237397,1.90385717776847,11.6005355397291
7,1,"N",TRUE,TRUE,TRUE,1,73.8,265.74,258.5
7,1,"Y",FALSE,TRUE,FALSE,90,0,1.36822222222222,20.9688888888889
7,1,"Y",TRUE,TRUE,FALSE,9428,13.5259874840899,5.45072868052609,39.1610733983878
8,1,"N",FALSE,TRUE,FALSE,1833,0,3.85477359519913,32.9678777959629
8,1,"N",TRUE,FALSE,FALSE,2,0.415,-1.83,-12.75
8,1,"N",TRUE,TRUE,FALSE,117295,2.92883899569462,1.92391150517925,11.6553774670702
8,1,"N",TRUE,TRUE,TRUE,2,79.5,377.415,368.25
8,1,"Y",FALSE,TRUE,FALSE,93,0,2.76827956989247,30.4720430107527
8,1,"Y",TRUE,TRUE,FALSE,10579,13.0091171188203,5.09282540882881,37.8677861801683
9,1,"N",FALSE,FALSE,FALSE,3,0,-3.74333333333333,-16.6
9,1,"N",FALSE,TRUE,FALSE,1724,0,3.91179234338747,31.0918851508121
9,1,"N",TRUE,FALSE,FALSE,2,0.51,-1.43,-5.25
9,1,"N",TRUE,TRUE,FALSE,132205,2.84916183200333,1.97277016754283,11.4956790590371
9,1,"N",TRUE,TRUE,TRUE,2,6.935,281.5,25.25
9,1,"Y",FALSE,TRUE,FALSE,55,0,0.662545454545455,24.7430909090909
9,1,"Y",TRUE,TRUE,FALSE,5180,14.2251621621622,5.22312355212355,40.6689575289575
10,1,"N",FALSE,FALSE,FALSE,2,0,-7.5,-10.9
10,1,"N",FALSE,TRUE,FALSE,1758,0,3.61889647326507,29.6599544937429
10,1,"N",TRUE,FALSE,FALSE,2,2.13,-6.255,-28.25
10,1,"N",TRUE,TRUE,FALSE,130200,2.84061198156682,1.98858786482335,11.5411218894009
10,1,"Y",FALSE,TRUE,FALSE,55,0,0.651090909090909,17.4910909090909
