"pu_hour","pu_wday","avg_tip_amount"
0,"Sun",2.08574756017538
0,"Mon",2.53365994330571
0,"Tue",2.44582113046634
0,"Wed",2.36527749320655
0,"Thu",2.41464334259804
0,"Fri",2.44943624217449
0,"Sat",2.23902643958286
1,"Sun",2.02646785181602
1,"Mon",2.2075926328628
1,"Tue",2.19460466541962
1,"Wed",2.13838414522563
1,"Thu",2.24533653788951
1,"Fri",2.25758926045042
1,"Sat",2.09812103617489
2,"Sun",1.9701261036387
2,"Mon",1.90530508449297
2,"Tue",1.94359500097637
2,"Wed",1.8979355000943
2,"Thu",2.03848482084955
2,"Fri",2.03353571986665
2,"Sat",1.98485312462619
3,"Sun",1.93697027331391
3,"Mon",1.8145671641791
3,"Tue",1.84794607797088
3,"Wed",1.83033669206193
3,"Thu",1.94576646697412
3,"Fri",1.96141978119845
3,"Sat",1.94701680361848
4,"Sun",1.91229374480466
4,"Mon",2.33337774546438
4,"Tue",2.16272863287825
4,"Wed",2.27933954866254
4,"Thu",2.33683248453983
4,"Fri",2.36108995569193
4,"Sat",1.91526560983079
5,"Sun",2.40105292376018
5,"Mon",2.51558882685439
5,"Tue",2.26994098355197
5,"Wed",2.41671993271657
5,"Thu",2.47284905537247
5,"Fri",2.55346645114259
5,"Sat",2.38043667567505
6,"Sun",2.48839878605048
6,"Mon",2.11217814055734
6,"Tue",1.95044837114039
6,"Wed",1.99160641159887
6,"Thu",2.03662655400984
6,"Fri",2.13041977474027
6,"Sat",2.25540217407807
7,"Sun",2.1474112283332
7,"Mon",2.11880512877653
7,"Tue",2.05634784353994
7,"Wed",2.06782618790621
7,"Thu",2.07612971988046
7,"Fri",2.08293393771254
7,"Sat",2.0396874620441
8,"Sun",1.94401582801134
8,"Mon",2.19619974053098
8,"Tue",2.16259096295055
8,"Wed",2.17382624679675
8,"Thu",2.20200925430798
8,"Fri",2.15498823449222
8,"Sat",1.86725544122073
9,"Sun",1.80371782861651
9,"Mon",2.18054307573137
9,"Tue",2.19077541593871
9,"Wed",2.19785348654677
9,"Thu",2.21828268318641
9,"Fri",2.1594100793108
9,"Sat",1.7722050822433
10,"Sun",1.82511635800071
10,"Mon",2.12798699110272
10,"Tue",2.14608201690654
10,"Wed",2.16120436030022
10,"Thu",2.18023501027466
10,"Fri",2.11521637711051
10,"Sat",1.77553170089116
11,"Sun",1.87270924064443
11,"Mon",2.09985807468211
11,"Tue",2.12521428854094
11,"Wed",2.15063540354679
11,"Thu",2.19179500166697
11,"Fri",2.11743857887838
11,"Sat",1.81590817238206
12,"Sun",1.96234701996315
12,"Mon",2.09939081078351
12,"Tue",2.1163579079927
12,"Wed",2.16039859318263
12,"Thu",2.19906475766948
12,"Fri",2.11630477369927
12,"Sat",1.85669905408901
13,"Sun",2.05063456806394
13,"Mon",2.1203115319773
13,"Tue",2.14713384023309
13,"Wed",2.20935419643983
13,"Thu",2.25682736529629
13,"Fri",2.16005967496387
13,"Sat",1.89269852333083
14,"Sun",2.15943366668575
14,"Mon",2.16545050066081
14,"Tue",2.17791447401885
14,"Wed",2.25936654712565
14,"Thu",2.30406860550985
14,"Fri",2.21721209549648
14,"Sat",1.96344212996351
15,"Sun",2.24263612511424
15,"Mon",2.15782773802047
15,"Tue",2.16627050426581
15,"Wed",2.24982941929791
15,"Thu",2.29055261519084
15,"Fri",2.21054571671005
15,"Sat",1.96677401186946
16,"Sun",2.25367401518491
16,"Mon",2.33308972551421
16,"Tue",2.34222419391609
16,"Wed",2.41362963101145
16,"Thu",2.46531180654164
16,"Fri",2.38453580518099
16,"Sat",1.96375738319028
17,"Sun",2.23166026607709
17,"Mon",2.28618652465757
17,"Tue",2.28702806642556
17,"Wed",2.35885023884848
17,"Thu",2.38219147879998
17,"Fri",2.29127805717825
17,"Sat",1.9843328727536
18,"Sun",2.15652396786259
18,"Mon",2.24164641690235
18,"Tue",2.23464060293363
18,"Wed",2.28563110521539
18,"Thu",2.31606395128851
18,"Fri",2.21413469722601
18,"Sat",1.95715477467447
19,"Sun",2.18137020293387
19,"Mon",2.22709332199113
19,"Tue",2.24785379244177
19,"Wed",2.28224417803295
19,"Thu",2.30211974842646
19,"Fri",2.33655401134419
19,"Sat",1.9401242938774
20,"Sun",2.34216427746728
20,"Mon",2.33506251999366
20,"Tue",2.31990098774687
20,"Wed",2.34509490380967
20,"Thu",2.35509844982152
20,"Fri",2.19585052845985
20,"Sat",2.04311197201187
21,"Sun",2.38094823386916
21,"Mon",2.40711079946181
21,"Tue",2.38860909955188
21,"Wed",2.42042653143243
21,"Thu",2.42675451863146
21,"Fri",2.22179401683527
21,"Sat",2.04803715124816
22,"Sun",2.40598782488776
22,"Mon",2.43173942899662
22,"Tue",2.4154908156284
22,"Wed",2.45890713305216
22,"Thu",2.48616856194743
22,"Fri",2.26077639946579
22,"Sat",2.09360270979415
23,"Sun",2.49759930740878
23,"Mon",2.45330493440114
23,"Tue",2.39687031303277
23,"Wed",2.42529774419868
23,"Thu",2.4663706947374
23,"Fri",2.27506680034717
23,"Sat",2.12946593303818
