"pu_hour","pu_month","avg_tip_amount"
0,"Jan",1.95216409185603
0,"Feb",2.23942547285193
0,"Mar",2.34126284403297
0,"Apr",2.32965106251776
0,"May",2.36383788977203
0,"Jun",2.38451850941384
0,"Jul",2.36884033321197
0,"Aug",2.33509453414882
0,"Sep",2.31382411301683
0,"Oct",2.39264532262231
0,"Nov",2.31796508839164
0,"Dec",2.38568357125084
1,"Jan",1.80161374190047
1,"Feb",2.07994408509415
1,"Mar",2.14975246507203
1,"Apr",2.17775111442352
1,"May",2.20063437949585
1,"Jun",2.2324121835542
1,"Jul",2.19886527022299
1,"Aug",2.21577624726511
1,"Sep",2.12109663651192
1,"Oct",2.12257009413785
1,"Nov",2.08968870772747
1,"Dec",2.20474319306931
2,"Jan",1.68015337928009
2,"Feb",1.940777178706
2,"Mar",1.99389032629007
2,"Apr",2.01914643696163
2,"May",2.00420478086031
2,"Jun",2.03464337854697
2,"Jul",2.03458508517063
2,"Aug",2.02668484928146
2,"Sep",1.98596759240598
2,"Oct",1.9915905880412
2,"Nov",1.97261023227873
2,"Dec",2.08509864321252
3,"Jan",1.63122159018116
3,"Feb",1.9242242919112
3,"Mar",1.97147289456985
3,"Apr",1.96905104990535
3,"May",1.92662070293408
3,"Jun",1.96164752903192
3,"Jul",1.9224982086191
3,"Aug",1.94079472098695
3,"Sep",1.90992908534874
3,"Oct",1.97328425584072
3,"Nov",1.95068528326111
3,"Dec",2.03673280186313
4,"Jan",1.74782426641369
4,"Feb",2.01657169168432
4,"Mar",2.0917234150113
4,"Apr",2.14517677097117
4,"May",2.19500970071498
4,"Jun",2.14121180009571
4,"Jul",2.06966694368088
4,"Aug",2.16465277635225
4,"Sep",2.16264863286951
4,"Oct",2.19163956691407
4,"Nov",2.15057012736687
4,"Dec",2.27909462283869
5,"Jan",1.98492209043935
5,"Feb",2.3867061426746
5,"Mar",2.40519156024431
5,"Apr",2.48227500037098
5,"May",2.52456489601424
5,"Jun",2.49429119685836
5,"Jul",2.34362210604929
5,"Aug",2.3930978082523
5,"Sep",2.48285594146834
5,"Oct",2.55300377755759
5,"Nov",2.62157508446902
