"pu_wday","avg_tip_amount"
"Sun",2.12325024334122
"Mon",2.2324227370238
"Tue",2.22554870113029
"Wed",2.26602082449574
"Thu",2.30000490674393
"Fri",2.21905353086579
"Sat",1.9780831985841
