"pu_hour","avg_tip_amount"
0,2.31136952569876
1,2.13184987303878
2,1.97804028663703
3,1.92421685371342
4,2.1081541351261
5,2.43400014944101
6,2.08618515269878
7,2.08023977529451
8,2.13734382095927
9,2.10674795756646
10,2.05724978301222
11,2.05653173654938
12,2.07377887304104
13,2.11969560181768
14,2.18129063054855
15,2.18449373390536
16,2.30842350431341
17,2.26369941882516
18,2.20728344133308
19,2.22295509912695
20,2.28022992849186
21,2.33328154384588
22,2.36162599667689
23,2.35257589595356
